nachname	Sterbedatum	Geburtsdatum	GND-Nummer	vorname	beruf	ort	original
Osterrieth, Albert	1926-03-18	1865-09-23	117176230	Albert			Osterrieth, Albert
Ovejero y Maury, Eduardo			121525341	Eduardo			Ovejero y Maury, Eduardo
Pahl				Rosa	Literaturagentin?	Übersetzerin?, Szeged	Pahl, Rosa (Literaturagentin?, Übersetzerin?, Szeged)
Paizs				Elemér	Übersetzer	Ungarn	Paizs, Elemér (Übersetzer, Ungarn)
Palmgren				Elly	Literaturagentin?	Übersetzerin?, Schweden	Palmgren, Elly (Literaturagentin?, Übersetzerin?, Schweden)
Pannier, Karl	1931-12-20	1854-07-21	1055114688	Karl			Pannier, Karl
Patteg				Max	Theaterdirektor	Schauspieler	Patteg, Max (Theaterdirektor, Schauspieler)
Percy				Herbert	persönlicher Vertreter von Alice Kauser	USA	Percy, Herbert (persönlicher Vertreter von Alice Kauser, USA)
Perles, Oskar	1942	1875	1324225815	Ernst	?		Perles, Ernst (?)
Perles, Oskar	1942	1875	1324225815	Oskar	?		Perles, Oskar (?)
Pescellini				O.	Literaturagent?	Übersetzer?, Dänemark	Pescellini, O. (Literaturagent?, Übersetzer?, Dänemark)
Pilgram, Wilhelm	1971-11-01	1889-01-01	116446552	Wilhelm	Ps. Willy Favart		Pilgram, Wilhelm (Ps. Willy Favart)
Playfair				Arthur Wyndham			Playfair, Arthur Wyndham
Porterfield, Allen W...			1243822228	Allen W.			Porterfield, Allen W.
Prasch, Rolf	1960-07-08	1884-10-18	116280670	Rolf			Prasch, Rolf
Price, Lawrence Marsden	1969	1881	116289791	Lawrence Marsden			Price, Lawrence Marsden
Probizer				Frl. von	Übersetzerin	wohl Italien	Probizer, Frl. von (Übersetzerin, wohl Italien)
Puhonny, Ivo	1940-02-06	1876-07-19	116333340	Ivo			Puhonny, Ivo
Raggio, Enrico			116324333	Enrico			Raggio, Enrico
Rehoff, Maria	1954	1874	1329678966	Maria	Theateragentin	Berlin-Karlshorst	Rehloff-Lindemann, Maria (Theateragentin, Berlin-Karlshorst)
Requadt				Rudolph	Schriftsteller		Requadt, Rudolph (Schriftsteller)
Rethy				Joseph Bernard (1894–1941; USA; Dichter und Literaturkritiker))			Rethy, Joseph Bernard (1894–1941; USA; Dichter und Literaturkritiker))
Reʾuveni, Aharon	1971	1886	124708994	Aharon			Reʾuveni, Aharon
Rieser, Ferdinand	1944-03-10	1874-12-17	116545062	Ferdinand			Rieser, Ferdinand
Roland				Paul			Roland, Paul
Rosenbaum, Regina		1870	1200899253	Regina			Rosenbaum, Regina
Frank, Helene	1948	1887	1217875158	Helene	Literaturagentin? Übersetzerin?	Krakau	Rosenzweig, Helene (Literaturagentin? Übersetzerin?, Krakau)
Rothgiesser				Iwan	Verlagsbuchhändler	Berlin	Rothgiesser, Iwan (Verlagsbuchhändler, Berlin)
Rothschild, Adelheid von	1935	1853	1069656798	Adelheid von			Rothschild, Adelheid von
Royaards, Willem	1929-01-24	1867-01-21	173858139	Willem			Royaards, Willem
Runge, Paul	1948	1877	133740439	Paul	Polizeipräsident	Köln	Runge, Paul (Polizeipräsident, Köln)
Rózsa, Dezső	1943	1885	132644445X		Übersetzer	Ungarn? Tschechien?	Rózsa (Übersetzer, Ungarn? Tschechien?)
Rökk-Richter				Stefano	Theateragent und Schriftsteller	Italien	Rökk-Richter, Stefano (Theateragent und Schriftsteller, Italien)
Salkind, Ilja	1944-07-27	[188X]	1204024723	Ilja			Salkind, Ilja
Sargant					Literaturagent?	USA	Sargant (Literaturagent?, USA)
Schaaf					Übersetzer	USA	Schaaf (Übersetzer, USA)
Schanche				Ingolf	Schauspieler	Norwegen	Schanche, Ingolf (Schauspieler, Norwegen)
Schedlich, Hans	1928-06-30	1888	1329686101	Hans			Schedlich, Hans
Schierning				Maria	Übersetzerin	Helsingør	Schierning, Maria (Übersetzerin, Helsingør)
Schur, Carl			117311162	Carl			Schur, Carl
Schönberger				L.	Konkursverwalter	Berlin	Schönberger, L. (Konkursverwalter, Berlin)
Seewitz, Joachim von	1966-02-23	1891-08-15	141224924	Joachim von			Seewitz, Joachim von
Sequenz, Heinrich	1987-05-11	1895-01-13	140123695	Heinrich			Sequenz, Heinrich
Sessa				Dr. P.	Übersetzer	Italien	Sessa, Dr. P. (Übersetzer, Italien)
Sestan, Ada	1946	1875	1033824399	A.	Mitarbeiter Riccardi-Verlag?	Triest	Sestan, A. (Mitarbeiter Riccardi-Verlag?, Triest)
Sforza				Liliane	Professorin?		Sforza, Liliane (Professorin?)
Shaw, Charlotte Frances Payne-Townshend	1943	1857	124540449	Charlotte Frances Payne-Townshend			Shaw, Charlotte Frances Payne-Townshend
Shubert, Lee	1953-12-26	1873-03-15	119040093	Lee	Zuordnung unsicher; evtl. einer seiner jüngeren Brüder		Shubert, Lee (Zuordnung unsicher; evtl. einer seiner jüngeren Brüder)
Singer				Josef			Singer, Josef
Singermann				Berta			Singermann, Berta
Skram-Knudsen				Johanne			Skram-Knudsen, Johanne
Spanuth, Heinrich	1958-10-25	1873-06-16	117481270	Heinrich			Spanuth, Heinrich
Spingarn, Joel Elias	1939	1875	118798286	Joel			Spingarn, Joel
